id,mode,tier,edge_type,depends_on_or_tests,blast_radius,stance_tainted,reaches_core
A1.0,AX_CORE,0,depends_on,,65,False,True
A1.1,AX_CORE,0,depends_on,,5,False,True
A1.2,AX_CORE,0,depends_on,,4,False,True
A1.3,AX_SCAFFOLD,1,depends_on,A1.0,3,False,True
D1.1,AX_SCAFFOLD,1,depends_on,A1.1|A1.2,0,False,True
D1.2,AX_SCAFFOLD,1,depends_on,A1.1|A1.2,0,False,True
LN1.1,FW_EXTENDED,1,depends_on,A1.1|A1.2,0,False,True
LN1.2,FW_EXTENDED,1,depends_on,A1.1|A1.2,0,False,True
A2.1,AX_CORE,2,depends_on,A1.0,61,False,True
A2.2,FW_EXTENDED,2,depends_on,A2.1,60,False,True
D2.1,AX_SCAFFOLD,3,depends_on,A2.2,4,True,True
D2.2,AX_SCAFFOLD,3,depends_on,A2.2,1,True,True
E2.1,AX_SCAFFOLD,3,depends_on,A2.2,4,True,True
P2.1,FW_EXTENDED,3,depends_on,A2.2,0,True,True
P2.2,FW_EXTENDED,3,depends_on,A2.2,0,True,True
LN2.1,FW_EXTENDED,3,depends_on,A2.2,0,True,True
A3.1,FW_EXTENDED,4,depends_on,A2.2,0,True,True
A3.2,FW_EXTENDED,4,depends_on,A2.2,5,True,True
D3.1,AX_SCAFFOLD,4,depends_on,A2.2,0,True,True
D3.2,AX_SCAFFOLD,4,depends_on,A2.2,0,True,True
D3.3,AX_SCAFFOLD,4,depends_on,A2.2,3,True,True
E3.1,AX_SCAFFOLD,4,depends_on,A2.2,1,True,True
E3.2,AX_SCAFFOLD,4,depends_on,A2.2,3,True,True
P3.1,FW_EXTENDED,4,depends_on,A2.2,0,True,True
P3.2,FW_EXTENDED,4,depends_on,A2.2,3,True,True
T3.1,AX_DERIVED,4,depends_on,A2.2,12,True,True
T3.2,FW_EXTENDED,4,depends_on,T3.1,5,True,True
LN3.1,FW_EXTENDED,4,depends_on,A2.2,0,True,True
A4.1,FW_EXTENDED,5,depends_on,A2.2,0,True,True
A4.2,FW_EXTENDED,5,depends_on,A2.2,0,True,True
D4.1,AX_SCAFFOLD,5,depends_on,A2.2,0,True,True
D4.2,AX_SCAFFOLD,5,depends_on,A2.2,0,True,True
E4.1,AX_SCAFFOLD,5,depends_on,A2.2,0,True,True
T4.1,FW_EXTENDED,5,depends_on,A2.2,0,True,True
T4.2,FW_EXTENDED,5,depends_on,A2.2,0,True,True
LN4.1,FW_EXTENDED,5,depends_on,A2.2,0,True,True
A5.1,FW_EXTENDED,6,depends_on,,50,False,False
A5.2,FW_EXTENDED,6,depends_on,A5.1,3,True,False
D5.1,AX_SCAFFOLD,6,depends_on,A5.1,0,True,False
D5.2,AX_SCAFFOLD,6,depends_on,A5.1,10,True,False
